RU088663268=				
RU085533428=				
RU080513143=				
RU049493380=	Ba1	4/2/2013	MDL	
RU092214257=				
RU028869053=				
RU054436297=				
RU083241250=				
RU062069520=				
RU049357923=	B-	2/10/2014	SPI	
RU049357923=	B	2/10/2010	FDL	
RU092504310=	B-	2/10/2014	SPI	
RU092504310=	B	2/10/2010	FDL	
RU020582847=	Ba3	4/7/2009	MDL	
RU055549320=	Ba3	4/7/2009	MDL	
RU104254438=				
RU031257298=				
RU049409575=				
RU023633604=	Ba3	12/13/2013	MDL	
RU029918325=	Ba3	12/13/2013	MDL	
RU094474183=				
VG097446920=	B1	10/3/2013	MDL	
RU085039326=	B1	4/22/2014	MDL	
RU084816345=				
RU095467393=				
RU087910555=				
RU092407845=				
RU085476335=				
DE062075988=	A	7/2/2013	SPI	
DE062076011=	A	7/2/2013	SPI	
IE099584556=				
XS083702001=	BBB	12/8/2008	SPI	
XS083702001=	A3	2/2/2007	MIS	
XS083702001=	A3	2/2/2007	MDL	
XS083702001=	WD	9/25/2013	FDL	
XS097264511=	BBB	12/8/2008	SPI	
XS097264511=	A3	2/2/2007	MIS	
XS097264511=	A3	2/2/2007	MDL	
XS097264511=	WD	9/25/2013	FDL	
KZS083157143=	BBB	12/8/2008	SPI	
KZS083157143=	A3	2/2/2007	MIS	
KZS083157143=	A3	2/2/2007	MDL	
KZS083157143=	WD	9/25/2013	FDL	
RU091860449=				
RU045489736=	BBB	12/8/2008	SPI	
RU045489736=	A3	2/2/2007	MIS	
RU045489736=	A3	2/2/2007	MDL	
RU045489736=	WD	9/25/2013	FDL	
RU098102817=				
RU095402461=				
RU086358328=				
RU023498715=	B+	3/11/2011	SPI	
RU023498715=	Ba3	1/26/2012	MDL	
RU023498715=	WD	6/20/2006	FIS	
RU023498715=	BB-	4/15/2011	FDL	
RU065291355=	B+	3/11/2011	SPI	
RU065291355=	Ba3	1/26/2012	MDL	
RU065291355=	WD	6/20/2006	FIS	
RU065291355=	BB-	4/15/2011	FDL	
RU035938133=	B+	3/11/2011	SPI	
RU035938133=	Ba3	1/26/2012	MDL	
RU035938133=	WD	6/20/2006	FIS	
RU035938133=	BB-	4/15/2011	FDL	
RU061890521=	B+	3/11/2011	SPI	
RU061890521=	Ba3	1/26/2012	MDL	
RU061890521=	WD	6/20/2006	FIS	
RU061890521=	BB-	4/15/2011	FDL	
RU080863861=	B+	3/11/2011	SPI	
RU080863861=	Ba3	1/26/2012	MDL	
RU080863861=	WD	6/20/2006	FIS	
RU080863861=	BB-	4/15/2011	FDL	
RU092033490=				
RU092033503=				
RU086343916=	Baa3	2/7/2014	MDL	
RU103864607=	Baa1	2/17/2014	MDL	
RU095491251=	Baa1	2/17/2014	MDL	
RU097412618=	Baa1	2/17/2014	MDL	
RU044234840=	Baa1	2/17/2014	MDL	
RU030358341=	Baa1	2/17/2014	MDL	
RU044233029=	Baa1	2/17/2014	MDL	
RU022079093=	Baa1	2/17/2014	MDL	
RU056235418=	Baa1	2/17/2014	MDL	
RU070881365=	Baa1	2/17/2014	MDL	
RU027645631=	Baa1	2/17/2014	MDL	
RU080558201=	Baa1	2/17/2014	MDL	
RU027645593=	Baa1	2/17/2014	MDL	
RU029058156=	Baa1	2/17/2014	MDL	
RU032723713=	Baa1	2/17/2014	MDL	
RU035728155=	Baa1	2/17/2014	MDL	
RU042486094=	Baa1	2/17/2014	MDL	
RU088573315=	Baa1	2/17/2014	MDL	
RU090694600=	Baa1	2/17/2014	MDL	
RU070881381=	Baa1	2/17/2014	MDL	
RU029058059=	Baa1	2/17/2014	MDL	
RU080557035=	Baa1	2/17/2014	MDL	
RU090694952=	Baa1	2/17/2014	MDL	
RU088573692=	Baa1	2/17/2014	MDL	
RU019175472=	Baa1	2/17/2014	MDL	
RU031652413=	Baa1	2/17/2014	MDL	
RU099754486=	Baa2	11/21/2013	MDL	
RU053127096=				
RU080365250=				
RU023057794=				
RU083326433=				
RU088810031=				
RU042651770=				
RU087798364=				
RU078329122=				
RU077921346=				
RU080058225=				
RU084813770=				
RU102602510=				
IE104072658=				
RU098710965=				
RU097532087=				
RU092229688=	Baa2	11/21/2013	MDL	
RU083019271=	Baa2	11/21/2013	MDL	
RU084665266=				
RU030911431=				
RU027105050=	NR	9/10/2009	SPI	
RU033731671=				
RU064033476=	B3	7/29/2011	MDL	
RU046366344=	Baa2	4/28/2008	MDL	
RU030427394=	Baa2	4/28/2008	MDL	
RU091950243=	Baa2	4/28/2008	MDL	
RU046192656=	Baa2	4/28/2008	MDL	
RU055465967=	Baa2	4/28/2008	MDL	
RU030427459=	Baa2	4/28/2008	MDL	
RU091950456=	Baa2	4/28/2008	MDL	
RU024693716=				
RU065096218=	Ba2	4/9/2013	MDL	
RU091829738=	Ba2	4/9/2013	MDL	
RU098286128=				
