RU088663268=	ACC:E0 CFADJ:NO CLDR:EMU_FI DATED:13FEB2013 DMC:F EMC:S FRCD:13AUG2013 FRQ:2 ISSUE:13FEB2013 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:E0 EY:2 LLP:E0 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	AHMLF  7.750 02/13/18	15000000000	AHML FINANCE LTD	AGENCY FOR HOUSING MORTGAGE LENDING OAO	7.75	2/13/2013	2/13/2018	RUB	AHML Finance	N	N	N	N	Y	AHMLF		RU	IE	XS0886632685	AHMLF	Senior Unsecured	Finance	Finance	Loan Participation Note
RU085533428=	ACC:00 CFADJ:NO CLDR:EMU_FI DATED:19NOV2012 DMC:F EMC:S FRCD:19MAY2013 FRQ:2 ISSUE:19NOV2012 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:00 EY:2 LLP:00 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	AKBLU  8.750 11/19/15 MTN	500000000	AK BARS LUXEMBOURG SA	AKB AK BARS OAO	8.75	11/19/2012	11/19/2015	USD	Ak Bars Lux	N	N	N	N	Y	AKBLU	5	RU	LU	XS0855334289	AKBLU	Senior Unsecured	Finance	Finance	Loan Participation Note
RU080513143=	ACC:00 CFADJ:NO CLDR:EMU_FI DATED:13JUL2012 DMC:F EMC:S FRCD:13JAN2013 FRQ:2 ISSUE:13JUL2012 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:00 EY:2 LLP:00 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	AKBLU  8.000 07/13/22 MTN	600000000	AK BARS LUXEMBOURG SA	AKB AK BARS OAO	8	7/13/2012	7/13/2022	USD	Ak Bars Lux	N	N	N	N	Y	AKBLU	4	RU	LU	XS0805131439	AKBLU	Senior Secured	Finance	Finance	Loan Participation Note
RU049493380=	ACC:00 CFADJ:NO CLDR:EMU_FI DATED:18MAR2010 DMC:F EMC:S FRCD:18SEP2010 FRQ:2 ISSUE:18MAR2010 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:00 EY:2 LLP:00 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	ABHDG  8.000 03/18/15 MTN	600000000	ALFA MTN ISSUANCE LTD	AL'FA-BANK OAO	8	3/18/2010	3/18/2015	USD	Alfa MTN Issunce	N	N	N	N	Y	ABHDG		RU	CY	XS0494933806	ABHDG	Senior Unsecured	Finance	Finance	Note
RU092214257=	ACC:00 CFADJ:NO CLDR:EMU_FI DATED:26APR2013 DMC:F EMC:S FRCD:26OCT2013 FRQ:2 ISSUE:26APR2013 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:00 EY:2 LLP:00 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	TMFMI  8.625 04/26/16 MTN	9068000000	ALFA BOND ISSUANCE PLC	AL'FA-BANK OAO	8.625	4/26/2013	4/26/2016	RUB	Alfa Bond Isuace	N	N	N	N	Y	TMFMI	1	RU	IE	XS0922142574	TMFMI	Senior Unsecured	Finance	Finance	Loan Participation Note
RU028869053=	ACC:00 CFADJ:NO CLDR:EMU_FI DATED:22FEB2007 DMC:F EMC:S FRCD:22AUG2007 FRQ:2 ISSUE:22FEB2007 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD STEP:01MAR2007:0.08635 STEP:29FEB2012:0.063 XD:NO 	CLDRADJ:NO DCB:00 EY:2 LLP:00 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	TMFMI  6.300 02/22/17	300000000	ALFA BOND ISSUANCE PLC	AL'FA-BANK OAO	6.3	2/22/2007	2/22/2017	USD	Alfa Bond Isuace	N	N	N	N	N	TMFMI		RU	IE	XS0288690539	TMFMI	Senior Secured	Finance	Finance	Loan Participation Note
RU054436297=	ACC:E0 CFADJ:NO CLDR:EMU_FI DATED:24SEP2010 DMC:F EMC:S FRCD:25MAR2011 FRQ:2 ISSUE:24SEP2010 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:E0 EY:2 LLP:E0 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	TMFMI  7.875 09/25/17	1000000000	ALFA BOND ISSUANCE PLC	AL'FA-BANK OAO	7.875	9/24/2010	9/25/2017	USD	Alfa Bond Isuace	N	N	N	N	Y	TMFMI		RU	IE	XS0544362972	TMFMI	Secured	Finance	Finance	Loan Participation Note
RU083241250=	ACC:00 CFADJ:NO CLDR:EMU_FI DATED:26SEP2012 DMC:F EMC:S FRCD:26MAR2013 FRQ:2 ISSUE:26SEP2012 NOTIONAL:1 PX:C PXRND:1E-6:NEAR REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:00 EY:2 LLP:00 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	TMFMI  7.500 09/26/19	750000000	ALFA BOND ISSUANCE PLC	AL'FA-BANK OAO	7.5	9/26/2012	9/26/2019	USD	Alfa Bond Isuace	N	N	N	N	Y	TMFMI		RU	IE	XS0832412505	TMFMI	Subordinated Secured	Finance	Finance	Loan Participation Note
RU062069520=	ACC:00 CFADJ:NO CLDR:EMU_FI DATED:28APR2011 DMC:F EMC:S FRCD:28OCT2011 FRQ:2 ISSUE:28APR2011 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:00 EY:2 LLP:00 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	TMFMI  7.750 04/28/21	1000000000	ALFA BOND ISSUANCE PLC	AL'FA-BANK OAO	7.75	4/28/2011	4/28/2021	USD	Alfa Bond Isuace	N	N	N	N	Y	TMFMI		RU	IE	XS0620695204	TMFMI	Senior Secured	Finance	Finance	Loan Participation Note
RU049357923=	ACC:00 CFADJ:NO CLDR:EMU_FI DATED:11MAR2010 DMC:F EMC:S FRCD:11SEP2010 FRQ:2 ISSUE:11MAR2010 NOTIONAL:1 PX:C PXRND:1E-5:DOWN REFDATE:MATURITY RP:1 SETTLE:3WD XD:NO 	CLDRADJ:NO DCB:00 EY:2 LLP:00 RATEFRQ:FRQ RATETYPE:ACT RM:YTA	ALLZF  9.875 03/11/15	350000000	ALLIANCE OIL CO LTD	NK AL'YANS OAO	9.875	3/11/2010	3/11/2015	USD	Alliance Oil Co	N	N	N	N	Y	ALLZF		RU	RU	XS0493579238	ALLZF	Senior Unsecured	Oil and Gas	Oil and Gas	Note
